Month,AUD_LKR,GBP_LKR,JPY_LKR,KWD_LKR,USD_LKR
2018-06,119.3925947368421,211.47924736842106,1.4464894736842104,526.2164368421053,159.07105789473684
2018-07,117.98664761904762,209.88980476190477,1.4297523809523809,526.2762047619048,159.33745714285715
2018-08,117.54335454545456,206.5608090909091,1.443440909090909,529.2355363636364,160.35386363636363
2018-09,118.33744210526315,214.5606105263158,1.4694789473684209,542.9445052631579,164.41525789473684
2018-10,121.81954545454546,222.9733,1.5173181818181818,564.7198227272728,171.22487727272727
2018-11,128.01094210526315,228.18492631578948,1.5595842105263158,581.6547315789473,176.84964210526314
2018-12,129.282755,228.13857,1.603305,592.2955,180.09797
2019-01,130.01506363636364,234.67787272727273,1.6719772727272728,600.671,182.12773636363636
2019-02,127.57827777777779,232.49875,1.6198555555555556,588.9465277777778,178.7330611111111
2019-03,126.34566842105264,235.15055789473683,1.6060368421052633,587.4907157894737,178.42975789473684
2019-04,124.25866,227.769385,1.566385,574.549835,174.801185
2019-05,122.52095238095238,226.88306666666665,1.6039666666666668,579.9732714285715,176.44468571428573
2019-06,122.5666105263158,223.7995,1.6343894736842106,581.1093947368421,176.58886315789474
2019-07,122.91380454545455,219.69658181818184,1.6264363636363635,578.4472863636364,175.99017272727272
2019-08,120.48026,216.404155,1.67458,585.290645,177.97048999999998
2019-09,122.961935,223.218775,1.68303,594.874665,180.77518
2019-10,123.29953913043478,229.04838260869565,1.677873913043478,597.2309347826086,181.45112173913043
2019-11,123.12235789473684,232.55308421052632,1.6576684210526316,593.7371736842105,180.37293684210525
2019-12,124.75261499999999,237.57422000000003,1.66036,596.85961,181.25391
2020-01,124.6596142857143,237.41615714285714,1.661166666666667,597.7366571428571,181.40364285714284
2020-02,121.23212222222222,235.5854,1.6502777777777777,595.391311111111,181.5628
2020-03,114.91957,228.456725,1.719865,598.5124,185.05668
2020-04,121.52327777777776,239.53471666666667,1.7924222222222221,620.1564666666667,193.08540555555555
2020-05,122.34013529411764,230.85205294117645,1.751535294117647,607.9168941176471,187.8650470588235
2020-06,128.07967142857143,232.89082857142859,1.7300619047619048,604.1509285714286,185.9545238095238
2020-07,130.61998695652173,235.23250869565217,1.7407565217391303,604.5224739130435,185.84869565217394
2020-08,133.064445,242.78726999999998,1.7437049999999998,604.531995,184.893855
2020-09,133.77680476190477,239.69564761904763,1.7521238095238096,604.6559904761905,185.03172857142857
2020-10,131.536095,239.42552999999998,1.7521650000000002,602.85571,184.43791000000002
2020-11,134.19577619047618,243.90482857142857,1.7705238095238094,604.6187142857143,184.78820000000002
2020-12,140.75294761904763,251.4119142857143,1.8033761904761905,613.1600714285714,187.18220476190476
2021-01,147.20359473684212,259.8134789473684,1.8379421052631582,628.0831315789474,190.49180526315791
2021-02,150.5663,269.1842555555556,1.8435833333333334,641.1822666666667,194.06650555555555
2021-03,151.8214818181818,272.9635409090909,1.8130272727272727,650.8828181818182,196.98253636363634
2021-04,152.0021111111111,273.3572555555555,1.8103166666666668,654.6788111111111,197.42304444444443
2021-05,154.91495,280.70942777777776,1.8280111111111113,663.0985444444444,199.58471666666665
2021-06,152.9507619047619,280.56970952380954,1.8159380952380952,663.2046142857142,199.8160619047619
2021-07,148.61233,276.3311,1.813325,664.61888,199.97777000000002
2021-08,146.34186818181817,276.65229999999997,1.8252318181818181,666.65555,200.49652727272726
2021-09,147.95335238095237,277.5996285714286,1.8339904761904764,671.4389666666667,201.98584285714284
